title,genre,production_company,actors,description,votes,reviews_from_users,reviews_from_critics,director,weighted_average,IMDb Score,Information,title_lower
Cinderella,"Fantasy, Drama",Famous Players Film Company,"Mary Pickford, Owen Moore, Isabel Vernon, Georgia Wilson, Lucille Carney, W.N. Cone, Inez Ranous","Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.",908,10.0,3.0,,6.0969472801891476,6.1,"Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.Mary Pickford Owen Moore Isabel VernonFantasy, Dramanan",cinderella
,"Animation, Family, Fantasy",Walt Disney Productions,"Ilene Woods, Eleanor Audley, Verna Felton, Claire Du Brey, Rhoda Williams, James MacDonald, Helene Stanley, Luis Van Rooten, Don Barclay, Lucille Bliss, Jeffrey Stone, Mike Douglas, William Phipps, Marion Darlington, Earl Keen","When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother.",135133,140.0,126.0,,7.08432127709049,7.3,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother.Ilene Woods Eleanor Audley Verna FeltonAnimation, Family, Fantasynan",cinderella
,"Comedy, Musical",Charles Band Productions,"Cheryl Smith, Yana Nirvana, Marilyn Corwin, Jennifer Stace, Sy Richardson, Brett Smiley, Kirk Scott, Boris Moris, Pamela Stonebrook, Ray Myles, Brenda Fogarty, Elizabeth Halsey, Linda Gildersleeve, Robert Stone, Mariwin Roberts","An adaptation of the fairy tale, Cinderella traces the misadventures of our heroine, who, via the help of her ""fairy"" (i.e. gay) godmother, is granted heightened sexual prowess to win over ...",541,12.0,13.0,,6.095110043673202,6.0,"An adaptation of the fairy tale, Cinderella traces the misadventures of our heroine, who, via the help of her ""fairy"" (i.e. gay) godmother, is granted heightened sexual prowess to win over ...Cheryl Smith Yana Nirvana Marilyn CorwinComedy, Musicalnan",cinderella
,"Drama, Family, Fantasy",Allison Shearmur Productions,"Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter, Nonso Anozie, Stellan Skarsgård, Sophie McShera, Holliday Grainger, Derek Jacobi, Ben Chaplin, Hayley Atwell, Rob Brydon, Jana Pérez, Alex Macqueen, Tom Edden","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",147891,409.0,373.0,,6.766379903828899,6.9,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.Cate Blanchett Lily James Richard MaddenDrama, Family, Fantasynan",cinderella
Sherlock Holmes,Mystery,The Essanay Film Manufacturing Company,"William Gillette, Marjorie Kay, Ernest Maupain, Edward Fielding, Mario Majeroni, Grace Reals, William Postance, Stewart Robbins, Burford Hampden, Chester Beery, Frank Hamilton, Fred Malatesta, Leona Ball, Hugh Thompson, Ludwig Kreiss","When a couple of swindlers hold young Alice Faulkner against her will in order to discover the whereabouts of letters which could spell scandal for the royal family, Sherlock Holmes is on the case.",290,10.0,16.0,Guy Ritchie,6.100775921471773,6.5,"When a couple of swindlers hold young Alice Faulkner against her will in order to discover the whereabouts of letters which could spell scandal for the royal family, Sherlock Holmes is on the case.William Gillette Marjorie Kay Ernest MaupainMysteryGuy Ritchie",sherlock holmes
,"Drama, Mystery",Goldwyn Pictures Corporation,"John Barrymore, Roland Young, Carol Dempster, Gustav von Seyffertitz, Louis Wolheim, Percy Knight, William Powell, Hedda Hopper, Peggy Bayfield, Margaret Kemp, Anders Randolf, Robert Schable, Reginald Denny, David Torrence, Robert Fischer",A young Sherlock Holmes seeks to bring down the criminal mastermind Moriarty as he solves a crime involving a blackmailed prince.,526,17.0,14.0,Guy Ritchie,6.0916556760266065,5.8,"A young Sherlock Holmes seeks to bring down the criminal mastermind Moriarty as he solves a crime involving a blackmailed prince.John Barrymore Roland Young Carol DempsterDrama, MysteryGuy Ritchie",sherlock holmes
,Drama,Fox Film Corporation,"Clive Brook, Miriam Jordan, Ernest Torrence, Herbert Mundin, Reginald Owen, Howard Leeds, Alan Mowbray, C. Montague Shaw, Frank Atkinson, Ivan F. Simpson, Stanley Fields",The famous detective is pulled away from retirement and his fiancée when the condemned Moriarty escapes from prison and swears vengeance.,115,10.0,7.0,Guy Ritchie,6.095313109417098,5.7,The famous detective is pulled away from retirement and his fiancée when the condemned Moriarty escapes from prison and swears vengeance.Clive Brook Miriam Jordan Ernest TorrenceDramaGuy Ritchie,sherlock holmes
,"Action, Adventure, Crime",Warner Bros.,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Robert Maillet, Geraldine James, Kelly Reilly, William Houston, Hans Matheson, James Fox, William Hope, Clive Russell, Oran Gurel, David Garrick",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,557059,667.0,423.0,Guy Ritchie,7.524364771745246,7.6,"Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.Robert Downey Jr. Jude Law Rachel McAdamsAction, Adventure, CrimeGuy Ritchie",sherlock holmes
Leap Year,Comedy,Paramount Pictures,"Roscoe 'Fatty' Arbuckle, Lucien Littlefield, Mary Thurman, John McKinnon, Clarence Geldart, Harriet Hammond, Allen Durnell, Gertrude Short, Winifred Greenwood, Maude Wayne","A young man, heir to his misogynistic and millionaire uncle, and in love with a nurse, gets in trouble when he gives advice on marriage to his girlfriends.",258,9.0,1.0,Anand Tucker,6.09688063408201,6.1,"A young man, heir to his misogynistic and millionaire uncle, and in love with a nurse, gets in trouble when he gives advice on marriage to his girlfriends.Roscoe 'Fatty' Arbuckle Lucien Littlefield Mary ThurmanComedyAnand Tucker",leap year
,"Comedy, Romance",Universal Pictures,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow, Noel O'Donovan, Tony Rohr, Pat Laffan, Alan Devlin, Ian McElhinney, Dominique McElligott, Mark O'Regan, Maggie McCarthy, Peter O'Meara, Macdara Ó Fátharta, Kaitlin Olson","Anna Brady plans to travel to Dublin, Ireland to propose marriage to her boyfriend Jeremy on Leap Day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.",88159,233.0,137.0,Anand Tucker,6.398882223075666,6.5,"Anna Brady plans to travel to Dublin, Ireland to propose marriage to her boyfriend Jeremy on Leap Day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.Amy Adams Matthew Goode Adam ScottComedy, RomanceAnand Tucker",leap year
Phantom,"Drama, Romance",Uco-Film GmbH,"Alfred Abel, Frida Richard, Aud Egede-Nissen, Hans Heinrich von Twardowski, Adolf Klein, Olga Engl, Lya De Putti, Ilka Grüning, Grete Berger, Anton Edthofer, Karl Etlinger, Lil Dagover, Heinrich Witte, Wilhelm Diegelmann, Gerhart Hauptmann",A shiftless young man becomes obsessed with a mysterious woman and yearns to find her again.,1436,17.0,23.0,Kabir Khan,6.134115849939598,6.9,"A shiftless young man becomes obsessed with a mysterious woman and yearns to find her again.Alfred Abel Frida Richard Aud Egede-NissenDrama, RomanceKabir Khan",phantom
,"Action, Drama",Aparna Silver Images,"Mammootty, Manoj K. Jayan, Nishanth Sagar, Nedumudi Venu, Innocent, Cochin Hanifa, Lalu Alex, Joemon Joshy, Malavika, Bindu Panikkar, Aswathi Menon","Phantom Pailey (Mammootty) is a very mysterious stranger with that seems a shady background that arrives in a village , and helps the people fight against local goons.",144,,,Kabir Khan,6.0900714279094,4.7,"Phantom Pailey (Mammootty) is a very mysterious stranger with that seems a shady background that arrives in a village , and helps the people fight against local goons.Mammootty Manoj K. Jayan Nishanth SagarAction, DramaKabir Khan",phantom
,"Drama, History, Thriller",RCR Media Group,"Ed Harris, David Duchovny, William Fichtner, Lance Henriksen, Johnathon Schaech, Jason Beghe, Dagmara Dominczyk, Derek Magyar, Sean Patrick Flanery, Jason Gray-Stanford, Julian Adams, Kip Pardue, Jordan Bridges, Jacob Witkin, Matt Bushell","The haunted Captain of a Soviet submarine holds the fate of the world in his hands. Forced to leave his family behind, he is charged with leading a covert mission cloaked in mystery.",12966,79.0,82.0,Kabir Khan,6.0367703006188735,5.9,"The haunted Captain of a Soviet submarine holds the fate of the world in his hands. Forced to leave his family behind, he is charged with leading a covert mission cloaked in mystery.Ed Harris David Duchovny William FichtnerDrama, History, ThrillerKabir Khan",phantom
,Drama,Ganko Films,"Yuki Fujita, Masato Tsujioka","In Tokyo, a girl and her boyfriend spend a night talking about their life, their precarious condition and their difficulties in earning a living, finding their place in the world, if they ever have one.",1164,14.0,25.0,Kabir Khan,6.146296073386871,7.4,"In Tokyo, a girl and her boyfriend spend a night talking about their life, their precarious condition and their difficulties in earning a living, finding their place in the world, if they ever have one.Yuki Fujita Masato TsujiokaDramaKabir Khan",phantom
,"Action, Drama, Thriller",Nadiadwala Grandson Entertainment,"Saif Ali Khan, Katrina Kaif, Sabyasachi Chakrabarty, Rajesh Tailang, Hervey Afiune, Elyas Ahmad, Farah Ahmed, Brandi Alexander, Mohammed Ali, Manoj Anand, Jane Clark Anderson, Darren Andrichuk, Claire Ashton, Ravi Aujla, Raj Awasti",A disgraced Indian soldier carries out a series of assassinations in the hope of restoring his honour.,7916,89.0,26.0,Kabir Khan,6.034074421729747,5.8,"A disgraced Indian soldier carries out a series of assassinations in the hope of restoring his honour.Saif Ali Khan Katrina Kaif Sabyasachi ChakrabartyAction, Drama, ThrillerKabir Khan",phantom
The Trap,Drama,Universal Film Manufacturing Company,"Lon Chaney, Alan Hale, Dagmar Godowsky, Stanley Goethals, Irene Rich, Spottiswoode Aitken, Herbert Standing, Frank Campeau","A miner's happiness is destroyed when a rival steals his mine. He becomes obsessed with revenge, and plans a trap for the man who took his mine.",108,10.0,3.0,Erik White,6.096864838864487,6.1,"A miner's happiness is destroyed when a rival steals his mine. He becomes obsessed with revenge, and plans a trap for the man who took his mine.Lon Chaney Alan Hale Dagmar GodowskyDramaErik White",the trap
,"Comedy, Crime, Mystery",Monogram Pictures,"Sidney Toler, Mantan Moreland, Victor Sen Yung, Tanis Chandler, Larry J. Blake, Kirk Alyn, Rita Quigley, Anne Nagel, Helen Gerald, Howard Negley, Lois Austin, Barbara Jean Wong, Minerva Urecal, Margaret Brayton, Bettie Best","When a troupe of showgirls with their impresario and press agent vacation at a Malibu Beach resort, two of them are garroted. Charlie takes on the case assisted by Number Two Son Jimmy and faithful chauffeur Birmingham Brown.",880,27.0,11.0,Erik White,6.108525243941494,6.5,"When a troupe of showgirls with their impresario and press agent vacation at a Malibu Beach resort, two of them are garroted. Charlie takes on the case assisted by Number Two Son Jimmy and faithful chauffeur Birmingham Brown.Sidney Toler Mantan Moreland Victor Sen YungComedy, Crime, MysteryErik White",the trap
,"Action, Crime, Drama",Heath Productions,"Richard Widmark, Lee J. Cobb, Tina Louise, Earl Holliman, Carl Benton Reid, Lorne Greene, Peter Baldwin, Chuck Wassil, Richard Shannon, Carl Milletaire","In a remote Californian desert town, a lawyer arranges for a wanted mobster to skip the country via a small airstrip but the local sheriff and his deputy could pose a problem.",378,10.0,8.0,Erik White,6.10321566425309,6.6,"In a remote Californian desert town, a lawyer arranges for a wanted mobster to skip the country via a small airstrip but the local sheriff and his deputy could pose a problem.Richard Widmark Lee J. Cobb Tina LouiseAction, Crime, DramaErik White",the trap
,"Adventure, Drama, Romance",The Rank Organisation,"Rita Tushingham, Oliver Reed, Rex Sevenoaks, Barbara Chilcott, Linda Goranson, Blain Fairman, Walter Marsh, Joseph Golland, Jon Granik, Merv Campone, Reg McReynolds",A fur trapper takes a mute girl as his unwilling wife to live with him in his remote cabin in the woods.,1665,49.0,7.0,Erik White,6.161100521954654,7.3,"A fur trapper takes a mute girl as his unwilling wife to live with him in his remote cabin in the woods.Rita Tushingham Oliver Reed Rex SevenoaksAdventure, Drama, RomanceErik White",the trap
,Comedy,Flavor Unit Entertainment,"T.I., Mike Epps, Loretta Devine, Queen Latifah, Teyana Taylor, Meagan Tandy, Joel Rush, Mila J., Stephen Bishop, Kelly 'K. Dubb' Walker, Lil Duval, D.C. Young Fly, Big Boi, 21 Savage, Bruce Bruce",A man returns home to Atlanta to help his brother's struggling restaurant.,942,43.0,1.0,Erik White,6.038186257917684,4.2,A man returns home to Atlanta to help his brother's struggling restaurant.T.I. Mike Epps Loretta DevineComedyErik White,the trap
Michael,"Drama, Romance",Universum Film (UFA),"Walter Slezak, Benjamin Christensen, Nora Gregor, Alexander Murski, Grete Mosheim, Didier Aslan, Robert Garrison, Max Auzinger, Karl Freund, Wilhelmine Sandrock, Eugène de Klotz","Triangle story: painter, his young male model, unscrupulous princess.",1446,22.0,23.0,Ribhu Dasgupta,6.143703942180875,7.1,"Triangle story: painter, his young male model, unscrupulous princess.Walter Slezak Benjamin Christensen Nora GregorDrama, RomanceRibhu Dasgupta",michael
,"Comedy, Drama, Fantasy",Turner Pictures (I),"John Travolta, Andie MacDowell, William Hurt, Bob Hoskins, Robert Pastorelli, Jean Stapleton, Teri Garr, Wallace Langham, Joey Lauren Adams, Carla Gugino, Tom Hodges, Catherine Lloyd Burns, Richard Schiff, Calvin Trillin, Donald J. Lee Jr.",Two tabloid reporters checking out a report of the Archangel Michael living with an old woman find that it's true. But that's not the only surprise.,39091,109.0,40.0,Ribhu Dasgupta,5.870731019858999,5.7,"Two tabloid reporters checking out a report of the Archangel Michael living with an old woman find that it's true. But that's not the only surprise.John Travolta Andie MacDowell William HurtComedy, Drama, FantasyRibhu Dasgupta",michael
,"Drama, Thriller",Bohra Bros Productions,"Naseeruddin Shah, Mahie Gill, Sabyasachi Chakrabarty, Iravati Harshe, Rudranil Ghosh, June Malia, Churni Ganguly, Purav Bhandare, Shaiju Nambiadath","Set in Kolkata, this is a character-driven psychological drama in which MICHAEL (Naseeruddin Shah), a loyal, hardworking police officer is ordered by his superiors to open fire on a ...",101,,3.0,Ribhu Dasgupta,6.095158949988536,5.6,"Set in Kolkata, this is a character-driven psychological drama in which MICHAEL (Naseeruddin Shah), a loyal, hardworking police officer is ordered by his superiors to open fire on a ...Naseeruddin Shah Mahie Gill Sabyasachi ChakrabartyDrama, ThrillerRibhu Dasgupta",michael
,"Drama, Thriller",Cine Tirol,"Michael Fuith, David Rauchenberger, Christine Kain, Ursula Strauss, Victor Tremmel, Xaver Winkler, Thomas Pfalzmann, Gisela Salcher, Isolde Wagner, Markus Hochholdinger, Susanne Rachler, David Oberkogler, Katrin Thurm, Martin Schwehla, Olivier Beaurepaire",Five months in the life of a pedophile who keeps a 10-year-old boy locked in his basement.,4226,18.0,121.0,Ribhu Dasgupta,6.1974454522853515,6.9,"Five months in the life of a pedophile who keeps a 10-year-old boy locked in his basement.Michael Fuith David Rauchenberger Christine KainDrama, ThrillerRibhu Dasgupta",michael
The Monster,"Comedy, Horror, Mystery",Metro-Goldwyn Pictures Corporation,"Lon Chaney, Gertrude Olmstead, Hallam Cooley, Johnny Arthur, Charles Sellon, Walter James, Knute Erickson, Frank Austin, Edward McWade, Ethel Wales",A meek clerk who doubles as an amateur detective investigates some very strange goings-on at a remote mental sanitarium.,874,29.0,17.0,Bryan Bertino,6.099819886494231,6.2,"A meek clerk who doubles as an amateur detective investigates some very strange goings-on at a remote mental sanitarium.Lon Chaney Gertrude Olmstead Hallam CooleyComedy, Horror, MysteryBryan Bertino",the monster
,"Drama, Mystery",Dbox Digital Communication,"Fariba Naderi, Payam Eskandari, Fariba Kowsari, Fereydoon Mehrabi, Sara Monjezi","Narrations told by an assistant to a musician, whom is suffering from the loss of his child after birth and is currently living with the ghost of the long time dead child. The musician ...",190,,,Bryan Bertino,6.076405696465619,2.9,"Narrations told by an assistant to a musician, whom is suffering from the loss of his child after birth and is currently living with the ghost of the long time dead child. The musician ...Fariba Naderi Payam Eskandari Fariba KowsariDrama, MysteryBryan Bertino",the monster
,"Drama, Fantasy, Horror",Atlas Independent,"Zoe Kazan, Ella Ballentine, Aaron Douglas, Christine Ebadi, Marc Hickox, Scott Speedman, Chris Webb, Meeko",A mother and daughter must confront a terrifying monster when they break down on a deserted road.,14108,162.0,129.0,Bryan Bertino,5.871486880711422,5.4,"A mother and daughter must confront a terrifying monster when they break down on a deserted road.Zoe Kazan Ella Ballentine Aaron DouglasDrama, Fantasy, HorrorBryan Bertino",the monster
The Phantom of the Opera,Horror,Universal Pictures,"Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe, Gibson Gowland, John St. Polis, Snitz Edwards, Mary Fabian, Virginia Pearson","A mad, disfigured composer seeks love with a lovely young opera singer.",15498,148.0,116.0,Joel Schumacher,6.6143852579832245,7.6,"A mad, disfigured composer seeks love with a lovely young opera singer.Lon Chaney Mary Philbin Norman KerryHorrorJoel Schumacher",the phantom of the opera
,"Drama, Horror, Music",Hammer Films,"Herbert Lom, Heather Sears, Edward de Souza, Thorley Walters, Michael Gough, Harold Goodwin, Martin Miller, Liane Aukin, Sonya Cordeau, Marne Maitland, Miriam Karlin, Patrick Troughton, Renee Houston, Keith Pyott, John Harvey",Terror strikes the London Opera House as a new opera is disrupted by the actions of a deformed specter of the show's past who has an obsession with one of the production's chorus girl.,2615,61.0,55.0,Joel Schumacher,6.121525745082523,6.4,"Terror strikes the London Opera House as a new opera is disrupted by the actions of a deformed specter of the show's past who has an obsession with one of the production's chorus girl.Herbert Lom Heather Sears Edward de SouzaDrama, Horror, MusicJoel Schumacher",the phantom of the opera
,"Drama, Horror, Music",21st Century Film Corporation,"Robert Englund, Jill Schoelen, Alex Hyde-White, Bill Nighy, Stephanie Lawrence, Terence Harvey, Nathan Lewis, Peter Clapham, Molly Shannon, Emma Rawson, Mark Ryan, Yehuda Efroni, Terence Beesley, Ray Jewers, Robin Hunter","A young soprano becomes the obsession of a horribly disfigured composer, who has plans for those who oppose him or the young singer.",3490,90.0,63.0,Joel Schumacher,6.033741546624486,5.5,"A young soprano becomes the obsession of a horribly disfigured composer, who has plans for those who oppose him or the young singer.Robert Englund Jill Schoelen Alex Hyde-WhiteDrama, Horror, MusicJoel Schumacher",the phantom of the opera
,"Drama, Musical, Romance",Warner Bros.,"Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson, Minnie Driver, Ciarán Hinds, Simon Callow, Victor McGuire, Jennifer Ellison, Murray Melvin, Kevin McNally, James Fleet, Imogen Bain, Miles Western, Judith Paris",A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,111362,2080.0,158.0,Joel Schumacher,7.047928596640554,7.3,"A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.Gerard Butler Emmy Rossum Patrick WilsonDrama, Musical, RomanceJoel Schumacher",the phantom of the opera
It,"Comedy, Romance",Paramount Pictures,"Clara Bow, Antonio Moreno, William Austin, Priscilla Bonner, Jacqueline Gadsdon, Julia Swayne Gordon, Elinor Glyn","A salesgirl with plenty of ""it"" (sex appeal) pursues a handsome playboy.",2774,62.0,22.0,,6.20021699189359,7.3,"A salesgirl with plenty of ""it"" (sex appeal) pursues a handsome playboy.Clara Bow Antonio Moreno William AustinComedy, Romancenan",it
,Horror,New Line Cinema,"Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard, Chosen Jacobs, Jack Dylan Grazer, Wyatt Oleff, Bill Skarsgård, Nicholas Hamilton, Jake Sim, Logan Thompson, Owen Teague, Jackson Robert Scott, Stephen Bogaert, Stuart Hughes","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",408221,1823.0,610.0,,7.218875538497045,7.3,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.Jaeden Martell Jeremy Ray Taylor Sophia LillisHorrornan",it
Love,"Drama, Romance",Metro-Goldwyn-Mayer (MGM),"John Gilbert, Greta Garbo, George Fawcett, Emily Fitzroy, Brandon Hurst, Philippe De Lacy",A married woman compromises her social standing and family life when she falls for a young officer.,860,14.0,9.0,Gaspar Noé,6.122423769873136,7.0,"A married woman compromises her social standing and family life when she falls for a young officer.John Gilbert Greta Garbo George FawcettDrama, RomanceGaspar Noé",love
,"Drama, Romance",Metro-Goldwyn-Mayer (MGM),"John Gilbert, Greta Garbo, George Fawcett, Emily Fitzroy, Brandon Hurst, Philippe De Lacy",A married woman compromises her social standing and family life when she falls for a young officer.,860,14.0,9.0,"Kabir Bhatia, Titien Wattimena",6.122423769873136,7.0,"A married woman compromises her social standing and family life when she falls for a young officer.John Gilbert Greta Garbo George FawcettDrama, RomanceKabir Bhatia, Titien Wattimena",love
,"Drama, Musical, Romance",,"Salman Khan, Rita Bhaduri, Shafi Inamdar, Amjad Khan, Sudhir Kumar, Babloo Mukherjee, Suhasini Mulay, Jagdish Raj, Revathy, Shahnaz Vahanvaty","Prithvi and Maggie fall in love and decide to get married, but Maggie's mother objects looking at Prithvi's past.",932,4.0,,Gaspar Noé,6.090827612872464,5.9,"Prithvi and Maggie fall in love and decide to get married, but Maggie's mother objects looking at Prithvi's past.Salman Khan Rita Bhaduri Shafi InamdarDrama, Musical, RomanceGaspar Noé",love
,"Drama, Musical, Romance",,"Salman Khan, Rita Bhaduri, Shafi Inamdar, Amjad Khan, Sudhir Kumar, Babloo Mukherjee, Suhasini Mulay, Jagdish Raj, Revathy, Shahnaz Vahanvaty","Prithvi and Maggie fall in love and decide to get married, but Maggie's mother objects looking at Prithvi's past.",932,4.0,,"Kabir Bhatia, Titien Wattimena",6.090827612872464,5.9,"Prithvi and Maggie fall in love and decide to get married, but Maggie's mother objects looking at Prithvi's past.Salman Khan Rita Bhaduri Shafi InamdarDrama, Musical, RomanceKabir Bhatia, Titien Wattimena",love
,"Drama, Thriller",Thoke Moebius Film Company,"Sergej Trifunovic, Geno Lechner, Peter Gevisser, Didier Flamand, Mario Padula, Al Nazemian, Liat Glick, Eric Frandsen, Kerry Johnston, Mariano Mederos, Mark Perez, Vija Vetra, Howell Seth Mayer, Renata Darlen, Eugenio Arias","Told through a looping, non-linear narrative from each of the characters' points of view, the film reconstructs the stories of a Yugoslav hit man, his former lover and her police officer boyfriend, as their paths cross in New York.",387,5.0,10.0,Gaspar Noé,6.102070967843519,6.5,"Told through a looping, non-linear narrative from each of the characters' points of view, the film reconstructs the stories of a Yugoslav hit man, his former lover and her police officer boyfriend, as their paths cross in New York.Sergej Trifunovic Geno Lechner Peter GevisserDrama, ThrillerGaspar Noé",love
,"Drama, Thriller",Thoke Moebius Film Company,"Sergej Trifunovic, Geno Lechner, Peter Gevisser, Didier Flamand, Mario Padula, Al Nazemian, Liat Glick, Eric Frandsen, Kerry Johnston, Mariano Mederos, Mark Perez, Vija Vetra, Howell Seth Mayer, Renata Darlen, Eugenio Arias","Told through a looping, non-linear narrative from each of the characters' points of view, the film reconstructs the stories of a Yugoslav hit man, his former lover and her police officer boyfriend, as their paths cross in New York.",387,5.0,10.0,"Kabir Bhatia, Titien Wattimena",6.102070967843519,6.5,"Told through a looping, non-linear narrative from each of the characters' points of view, the film reconstructs the stories of a Yugoslav hit man, his former lover and her police officer boyfriend, as their paths cross in New York.Sergej Trifunovic Geno Lechner Peter GevisserDrama, ThrillerKabir Bhatia, Titien Wattimena",love
,"Drama, Music, Sci-Fi",,"Gunner Wright, Corey Richardson, Bradley Horne, Nancy Stelle, Roger E. Fanter, Jesse Hotchkiss, Troy Mittleider, Brid Caveney, Ambyr Childers, B. Anthony Cohen, James C. Burns, Lee Bettencourt, Mark Eaton, Brian Vanik, Dan Figur","A man spends years alone on a space station orbiting Earth after losing communication with Houston/Earth. Time is spent on maintenance, exercise, watching old messages and reading a journal by a soldier in the American civil war 1864.",8321,94.0,69.0,Gaspar Noé,5.965592382286024,5.5,"A man spends years alone on a space station orbiting Earth after losing communication with Houston/Earth. Time is spent on maintenance, exercise, watching old messages and reading a journal by a soldier in the American civil war 1864.Gunner Wright Corey Richardson Bradley HorneDrama, Music, Sci-FiGaspar Noé",love
,"Drama, Music, Sci-Fi",,"Gunner Wright, Corey Richardson, Bradley Horne, Nancy Stelle, Roger E. Fanter, Jesse Hotchkiss, Troy Mittleider, Brid Caveney, Ambyr Childers, B. Anthony Cohen, James C. Burns, Lee Bettencourt, Mark Eaton, Brian Vanik, Dan Figur","A man spends years alone on a space station orbiting Earth after losing communication with Houston/Earth. Time is spent on maintenance, exercise, watching old messages and reading a journal by a soldier in the American civil war 1864.",8321,94.0,69.0,"Kabir Bhatia, Titien Wattimena",5.965592382286024,5.5,"A man spends years alone on a space station orbiting Earth after losing communication with Houston/Earth. Time is spent on maintenance, exercise, watching old messages and reading a journal by a soldier in the American civil war 1864.Gunner Wright Corey Richardson Bradley HorneDrama, Music, Sci-FiKabir Bhatia, Titien Wattimena",love
,"Drama, Romance",Les Cinémas de la Zone,"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy, Xamira Zuloaga, Stella Rocha, Omaima S.","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",39385,106.0,198.0,Gaspar Noé,6.098652057536125,6.1,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.Aomi Muyock Karl Glusman Klara KristinDrama, RomanceGaspar Noé",love
,"Drama, Romance",Les Cinémas de la Zone,"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy, Xamira Zuloaga, Stella Rocha, Omaima S.","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",39385,106.0,198.0,"Kabir Bhatia, Titien Wattimena",6.098652057536125,6.1,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.Aomi Muyock Karl Glusman Klara KristinDrama, RomanceKabir Bhatia, Titien Wattimena",love
The Ring,"Drama, Romance, Sport",British International Pictures (BIP),"Carl Brisson, Lillian Hall-Davis, Ian Hunter, Forrester Harvey, Harry Terry, Gordon Harker",Two boxers compete for the love of a woman.,2912,40.0,31.0,Gore Verbinski,6.106116053641711,6.2,"Two boxers compete for the love of a woman.Carl Brisson Lillian Hall-Davis Ian HunterDrama, Romance, SportGore Verbinski",the ring
,Drama,King Brothers Productions,"Gerald Mohr, Rita Moreno, Lalo Rios, Robert Arthur, Robert Osterloh, Martin Garralaga, Art Aragon, Jack Elam, Peter Brocco, Robert Shayne, Julia Montoya, Lillian Molieri, Pepe Hern, Victor Millan, Tony Martinez","A young American of Mexican decent in East Los Angeles, California uses the boxing ring to make a better life for himself and his family, and learns as much about being a Latino in a white society as he does about boxing.",638,8.0,,Gore Verbinski,6.099035806967436,6.2,"A young American of Mexican decent in East Los Angeles, California uses the boxing ring to make a better life for himself and his family, and learns as much about being a Latino in a white society as he does about boxing.Gerald Mohr Rita Moreno Lalo RiosDramaGore Verbinski",the ring
