title,genre,production_company,actors,description,votes,reviews_from_users,reviews_from_critics,director,weighted_average,IMDb Score,Information,title_lower
The Expendables 3,"Action, Adventure, Thriller",Lionsgate,"Sylvester Stallone, Jason Statham, Harrison Ford, Arnold Schwarzenegger, Mel Gibson, Wesley Snipes, Dolph Lundgren, Randy Couture, Terry Crews, Kelsey Grammer, Glen Powell, Antonio Banderas, Victor Ortiz, Ronda Rousey, Kellan Lutz","Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",159787,385.0,338.0,,6.09950939024824,6.1,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.Sylvester Stallone Jason Statham Harrison FordAction, Adventure, Thrillernan",the expendables 3
Blue Jasmine,Drama,Gravier Productions,"Cate Blanchett, Joy Carlin, Richard Conti, Glen Caspillo, Alec Baldwin, Charlie Tahan, Annie McNamara, Sally Hawkins, Daniel Jenks, Max Rutherford, Andrew Dice Clay, Tammy Blanchard, Kathy Tong, Ted Neustadt, Andrew Long","A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...",182529,438.0,439.0,Woody Allen,7.132529663601506,7.3,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...Cate Blanchett Joy Carlin Richard ContiDramaWoody Allen",blue jasmine
Bottom of the World,"Drama, Mystery, Thriller",Catalyst Global Media,"Jena Malone, Douglas Smith, Ted Levine, Tamara Duarte, Kevin Owen McDonald, Jon McLaren, Mark Sivertsen, Jonathan David Dixon, Timothy Nolen, Ralph Alderman, Dennis Garber, Holly Pinnell, Kelly Pendygraft, Victor Cornfoot, Michael Davis","The mysterious disappearance of a young woman leads her boyfriend on a journey for truth and perhaps his own unknown reality in this dark, hypnotic mystery that transcends the limitations of traditional narrative.",4662,36.0,4.0,Richard Sears,6.00179787971661,5.4,"The mysterious disappearance of a young woman leads her boyfriend on a journey for truth and perhaps his own unknown reality in this dark, hypnotic mystery that transcends the limitations of traditional narrative.Jena Malone Douglas Smith Ted LevineDrama, Mystery, ThrillerRichard Sears",bottom of the world
PK,"Comedy, Drama, Fantasy",Rajkumar Hirani Films,"Aamir Khan, Anushka Sharma, Saurabh Shukla, Sanjay Dutt, Boman Irani, Sushant Singh Rajput, Parikshat Sahni, Amardeep Jha, Reema Debnath, Dheerendra Dwivedi, Sai Gundewar, Ram P. Sethi, Rukhsar Rehman, Arun Bali, Pallavi Batra",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,143874,546.0,71.0,Rajkumar Hirani,7.759014093695861,8.1,"An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.Aamir Khan Anushka Sharma Saurabh ShuklaComedy, Drama, FantasyRajkumar Hirani",pk
Unicorn Store,"Comedy, Drama, Fantasy",51 Entertainment,"Brie Larson, Samuel L. Jackson, Joan Cusack, Bradley Whitford, Mamoudou Athie, Hamish Linklater, Martha MacIsaac, Karan Soni, Annaleigh Ashford, Ryan Hansen, Mary Holland, Ithamar Enriquez, Todd Jeffries, Deb Hiett, Nelson Franklin","Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams.",14711,279.0,109.0,Brie Larson,5.898321503874411,5.5,"Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams.Brie Larson Samuel L. Jackson Joan CusackComedy, Drama, FantasyBrie Larson",unicorn store
Liar's Dice,"Adventure, Drama, Family",Jar Pictures,"Nawazuddin Siddiqui, Geetanjali Thapa, Manya Gupta, Vikram Bhagra, Murari Kumar",A mother and her daughter embarks on a desperate journey to find her missing husband. She met an guy who promised to help her for money. With limited money it become difficult to continue the search which leads to anxiety and despair.,610,5.0,11.0,Geetu Mohandas,6.1131161451094265,6.9,"A mother and her daughter embarks on a desperate journey to find her missing husband. She met an guy who promised to help her for money. With limited money it become difficult to continue the search which leads to anxiety and despair.Nawazuddin Siddiqui Geetanjali Thapa Manya GuptaAdventure, Drama, FamilyGeetu Mohandas",liar's dice
Zenda,Drama,Everest Entertainment,"Siddharth Chandekar, Shubhangi Gokhale, Ujwala Jog, Neha Joshi, Santosh Juvekar, Chinmay Mandlekar, Sachit Patil, Tejashree Pradhan, Rajesh Shringarpure, Pushkar Shrotri, Sunil Tawde","Two young politicians cannot see eye to eye, resulting in the split of a political party into two factions.",379,,,Avadhoot Gupte,6.108303500165601,7.0,"Two young politicians cannot see eye to eye, resulting in the split of a political party into two factions.Siddharth Chandekar Shubhangi Gokhale Ujwala JogDramaAvadhoot Gupte",zenda
Grandmaster,"Action, Thriller",UTV Spotboy Motion Pictures,"Mohanlal, Priyamani, Babu Antony, Arjun Nandakumar, Anoop Menon, Devan, Riyaz Khan, Mithra Kurian, Manikuttan, Ambika Mohan, Rajshri Nair, Narain, Roma, Seetha, Siddique","A veteran cop chases a cold blooded serial killer, who murders his victims in alphabetical order.",1585,9.0,2.0,B. Unnikrishnan,6.147978035339017,7.1,"A veteran cop chases a cold blooded serial killer, who murders his victims in alphabetical order.Mohanlal Priyamani Babu AntonyAction, ThrillerB. Unnikrishnan",grandmaster
The Rover,"Crime, Drama",Porchlight Films,"Guy Pearce, Chan Kien, Tek Kong Lim, Tawanda Manyimo, Scoot McNairy, David Field, Scott Perry, Robert Pattinson, Richard Green, Ben Armer, Ethan Hanslow, Gillian Jones, Jamie Fallon, Frank C. Sun, Samuel F. Lee","10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.",41658,208.0,258.0,David Michôd,6.274286479948217,6.4,"10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.Guy Pearce Chan Kien Tek Kong LimCrime, DramaDavid Michôd",the rover
Bittoo Boss,Romance,Panorama Studios,"Pulkit Samrat, Rajesh Bakshi, Ujjwal Chopra, Wamiqa Gabbi, Ritesh Jangid, Rose J. Kaur, Amita Pathak, Ashok Pathak, Tanvir Singh, Sahil Vaid","Bittoo Boss' is a young charming, ingenious and a fun filled wedding cameraman who takes pride in calling himself a ""Sesky Video Shooter"". He is the star of all wedding celebrations of ...",339,3.0,16.0,Supavitra Babul,6.074178725092298,4.1,"Bittoo Boss' is a young charming, ingenious and a fun filled wedding cameraman who takes pride in calling himself a ""Sesky Video Shooter"". He is the star of all wedding celebrations of ...Pulkit Samrat Rajesh Bakshi Ujjwal ChopraRomanceSupavitra Babul",bittoo boss
